Starting Sample AI Mock script (Multi-Campaign). Target: http://localhost:3000/api/events
[23:51:51] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:53] Sent data for Promo Skincare Baru. Status: 200
[23:51:55] Sent data for Peluncuran Minuman Energi. Status: 200
[23:51:58] Sent data for Promo Skincare Baru. Status: 200
[23:52:00] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:03] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:05] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:08] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:11] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:13] Sent data for Promo Skincare Baru. Status: 200
[23:52:15] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:17] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:19] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:20] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:22] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:24] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:27] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:29] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:31] Sent data for Promo Skincare Baru. Status: 200
[23:52:32] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:33] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:35] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:37] Sent data for Promo Skincare Baru. Status: 200
[23:52:39] Sent data for Promo Skincare Baru. Status: 200
[23:52:41] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:42] Sent data for Iklan Mobil Listrik. Status: 200
[23:52:44] Sent data for Promo Skincare Baru. Status: 200
[23:52:46] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:48] Sent data for Promo Skincare Baru. Status: 200
[23:52:50] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:52] Sent data for Peluncuran Minuman Energi. Status: 200
[23:52:55] Sent data for Promo Skincare Baru. Status: 200
[23:52:57] Sent data for Promo Skincare Baru. Status: 200
[23:52:58] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:01] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:03] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:06] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:07] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:09] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:12] Sent data for Promo Skincare Baru. Status: 200
[23:53:15] Sent data for Promo Skincare Baru. Status: 200
[23:53:18] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:20] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:22] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:24] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:25] Sent data for Promo Skincare Baru. Status: 200
[23:53:28] Sent data for Promo Skincare Baru. Status: 200
[23:53:30] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:31] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:33] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:35] Sent data for Promo Skincare Baru. Status: 200
[23:53:37] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:38] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:40] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:43] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:44] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:45] Sent data for Peluncuran Minuman Energi. Status: 200
[23:53:48] Sent data for Promo Skincare Baru. Status: 200
[23:53:51] Sent data for Promo Skincare Baru. Status: 200
[23:53:52] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:54] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:56] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:57] Sent data for Iklan Mobil Listrik. Status: 200
[23:53:59] Sent data for Promo Skincare Baru. Status: 200
[23:54:01] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:03] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:05] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:08] Sent data for Promo Skincare Baru. Status: 200
[23:54:11] Sent data for Promo Skincare Baru. Status: 200
[23:54:12] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:14] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:15] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:17] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:20] Sent data for Promo Skincare Baru. Status: 200
[23:54:21] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:24] Sent data for Promo Skincare Baru. Status: 200
[23:54:25] Sent data for Promo Skincare Baru. Status: 200
[23:54:27] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:30] Sent data for Promo Skincare Baru. Status: 200
[23:54:31] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:34] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:35] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:38] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:41] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:43] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:44] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:47] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:48] Sent data for Iklan Mobil Listrik. Status: 200
[23:54:49] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:50] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:53] Sent data for Promo Skincare Baru. Status: 200
[23:54:56] Sent data for Peluncuran Minuman Energi. Status: 200
[23:54:58] Sent data for Promo Skincare Baru. Status: 200
[23:55:01] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:04] Sent data for Promo Skincare Baru. Status: 200
[23:55:05] Sent data for Promo Skincare Baru. Status: 200
[23:55:08] Sent data for Peluncuran Minuman Energi. Status: 200
[23:55:09] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:11] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:12] Sent data for Promo Skincare Baru. Status: 200
[23:55:14] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:16] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:19] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:21] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:24] Sent data for Peluncuran Minuman Energi. Status: 200
[23:55:26] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:27] Sent data for Promo Skincare Baru. Status: 200
[23:55:30] Sent data for Peluncuran Minuman Energi. Status: 200
[23:55:33] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:36] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:37] Sent data for Promo Skincare Baru. Status: 200
[23:55:40] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:42] Sent data for Peluncuran Minuman Energi. Status: 200
[23:55:45] Sent data for Promo Skincare Baru. Status: 200
[23:55:46] Sent data for Peluncuran Minuman Energi. Status: 200
[23:55:49] Sent data for Peluncuran Minuman Energi. Status: 200
[23:55:51] Sent data for Promo Skincare Baru. Status: 200
[23:55:53] Sent data for Iklan Mobil Listrik. Status: 200
[23:55:56] Sent data for Promo Skincare Baru. Status: 200
[23:55:59] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:00] Sent data for Peluncuran Minuman Energi. Status: 200
[23:56:02] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:05] Sent data for Promo Skincare Baru. Status: 200
[23:56:07] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:09] Sent data for Promo Skincare Baru. Status: 200
[23:56:12] Sent data for Promo Skincare Baru. Status: 200
[23:56:15] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:17] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:20] Sent data for Promo Skincare Baru. Status: 200
[23:56:21] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:23] Sent data for Promo Skincare Baru. Status: 200
[23:56:25] Sent data for Promo Skincare Baru. Status: 200
[23:56:27] Sent data for Promo Skincare Baru. Status: 200
[23:56:30] Sent data for Promo Skincare Baru. Status: 200
[23:56:33] Sent data for Promo Skincare Baru. Status: 200
[23:56:34] Sent data for Peluncuran Minuman Energi. Status: 200
[23:56:36] Sent data for Promo Skincare Baru. Status: 200
[23:56:37] Sent data for Promo Skincare Baru. Status: 200
[23:56:39] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:41] Sent data for Peluncuran Minuman Energi. Status: 200
[23:56:43] Sent data for Promo Skincare Baru. Status: 200
[23:56:45] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:47] Sent data for Peluncuran Minuman Energi. Status: 200
[23:56:48] Sent data for Promo Skincare Baru. Status: 200
[23:56:50] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:52] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:53] Sent data for Iklan Mobil Listrik. Status: 200
[23:56:55] Sent data for Promo Skincare Baru. Status: 200
[23:56:57] Sent data for Peluncuran Minuman Energi. Status: 200
[23:56:59] Sent data for Promo Skincare Baru. Status: 200
[23:57:01] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:03] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:04] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:06] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:08] Sent data for Promo Skincare Baru. Status: 200
[23:57:11] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:14] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:15] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:18] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:19] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:20] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:23] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:24] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:25] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:27] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:29] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:32] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:34] Sent data for Promo Skincare Baru. Status: 200
[23:57:35] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:36] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:38] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:40] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:41] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:44] Sent data for Promo Skincare Baru. Status: 200
[23:57:47] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:49] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:50] Sent data for Peluncuran Minuman Energi. Status: 200
[23:57:53] Sent data for Promo Skincare Baru. Status: 200
[23:57:55] Sent data for Iklan Mobil Listrik. Status: 200
[23:57:57] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:00] Sent data for Promo Skincare Baru. Status: 200
[23:58:01] Sent data for Promo Skincare Baru. Status: 200
[23:58:03] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:05] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:07] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:09] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:11] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:14] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:16] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:19] Sent data for Promo Skincare Baru. Status: 200
[23:58:20] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:21] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:22] Sent data for Promo Skincare Baru. Status: 200
[23:58:24] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:27] Sent data for Promo Skincare Baru. Status: 200
[23:58:29] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:30] Sent data for Promo Skincare Baru. Status: 200
[23:58:32] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:34] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:35] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:36] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:39] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:42] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:43] Sent data for Promo Skincare Baru. Status: 200
[23:58:46] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:47] Sent data for Promo Skincare Baru. Status: 200
[23:58:48] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:51] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:53] Sent data for Iklan Mobil Listrik. Status: 200
[23:58:56] Sent data for Peluncuran Minuman Energi. Status: 200
[23:58:59] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:01] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:04] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:06] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:07] Sent data for Promo Skincare Baru. Status: 200
[23:59:10] Sent data for Promo Skincare Baru. Status: 200
[23:59:11] Sent data for Promo Skincare Baru. Status: 200
[23:59:14] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:15] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:17] Sent data for Promo Skincare Baru. Status: 200
[23:59:19] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:21] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:23] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:24] Sent data for Promo Skincare Baru. Status: 200
[23:59:26] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:27] Sent data for Promo Skincare Baru. Status: 200
[23:59:30] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:32] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:35] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:37] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:39] Sent data for Promo Skincare Baru. Status: 200
[23:59:42] Sent data for Promo Skincare Baru. Status: 200
[23:59:43] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:45] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:48] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:50] Sent data for Iklan Mobil Listrik. Status: 200
[23:59:53] Sent data for Promo Skincare Baru. Status: 200
[23:59:54] Sent data for Promo Skincare Baru. Status: 200
[23:59:57] Sent data for Peluncuran Minuman Energi. Status: 200
[23:59:59] Sent data for Promo Skincare Baru. Status: 200
[00:00:00] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:05] Sent data for Promo Skincare Baru. Status: 200
[00:00:07] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:00:11] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:13] Sent data for Promo Skincare Baru. Status: 200
[00:00:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:17] Sent data for Peluncuran Minuman Energi. Status: 200
[00:00:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:21] Sent data for Peluncuran Minuman Energi. Status: 200
[00:00:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:26] Sent data for Peluncuran Minuman Energi. Status: 200
[00:00:29] Sent data for Promo Skincare Baru. Status: 200
[00:00:32] Sent data for Promo Skincare Baru. Status: 200
[00:00:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:36] Sent data for Peluncuran Minuman Energi. Status: 200
[00:00:38] Sent data for Promo Skincare Baru. Status: 200
[00:00:40] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:43] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:46] Sent data for Peluncuran Minuman Energi. Status: 200
[00:00:48] Sent data for Promo Skincare Baru. Status: 200
[00:00:50] Sent data for Peluncuran Minuman Energi. Status: 200
[00:00:53] Sent data for Promo Skincare Baru. Status: 200
[00:00:55] Sent data for Iklan Mobil Listrik. Status: 200
[00:00:57] Sent data for Promo Skincare Baru. Status: 200
[00:00:58] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:01] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:02] Sent data for Promo Skincare Baru. Status: 200
[00:01:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:09] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:11] Sent data for Promo Skincare Baru. Status: 200
[00:01:13] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:15] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:18] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:19] Sent data for Promo Skincare Baru. Status: 200
[00:01:21] Sent data for Promo Skincare Baru. Status: 200
[00:01:23] Sent data for Promo Skincare Baru. Status: 200
[00:01:26] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:27] Sent data for Promo Skincare Baru. Status: 200
[00:01:30] Sent data for Promo Skincare Baru. Status: 200
[00:01:31] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:33] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:40] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:42] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:44] Sent data for Promo Skincare Baru. Status: 200
[00:01:47] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:49] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:51] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:52] Sent data for Peluncuran Minuman Energi. Status: 200
[00:01:53] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:55] Sent data for Promo Skincare Baru. Status: 200
[00:01:57] Sent data for Iklan Mobil Listrik. Status: 200
[00:01:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:02:00] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:02] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:08] Sent data for Promo Skincare Baru. Status: 200
[00:02:09] Sent data for Peluncuran Minuman Energi. Status: 200
[00:02:11] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:13] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:16] Sent data for Promo Skincare Baru. Status: 200
[00:02:19] Sent data for Peluncuran Minuman Energi. Status: 200
[00:02:20] Sent data for Promo Skincare Baru. Status: 200
[00:02:21] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:24] Sent data for Promo Skincare Baru. Status: 200
[00:02:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:29] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:32] Sent data for Promo Skincare Baru. Status: 200
[00:02:35] Sent data for Promo Skincare Baru. Status: 200
[00:02:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:02:39] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:41] Sent data for Promo Skincare Baru. Status: 200
[00:02:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:02:45] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:47] Sent data for Promo Skincare Baru. Status: 200
[00:02:48] Sent data for Peluncuran Minuman Energi. Status: 200
[00:02:50] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:52] Sent data for Iklan Mobil Listrik. Status: 200
[00:02:55] Sent data for Peluncuran Minuman Energi. Status: 200
[00:02:57] Sent data for Promo Skincare Baru. Status: 200
[00:02:59] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:01] Sent data for Promo Skincare Baru. Status: 200
[00:03:02] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:05] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:06] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:08] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:11] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:13] Sent data for Promo Skincare Baru. Status: 200
[00:03:16] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:18] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:21] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:22] Sent data for Promo Skincare Baru. Status: 200
[00:03:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:26] Sent data for Promo Skincare Baru. Status: 200
[00:03:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:29] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:32] Sent data for Promo Skincare Baru. Status: 200
[00:03:35] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:37] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:38] Sent data for Promo Skincare Baru. Status: 200
[00:03:40] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:41] Sent data for Promo Skincare Baru. Status: 200
[00:03:43] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:45] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:46] Sent data for Promo Skincare Baru. Status: 200
[00:03:47] Sent data for Promo Skincare Baru. Status: 200
[00:03:50] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:52] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:54] Sent data for Peluncuran Minuman Energi. Status: 200
[00:03:57] Sent data for Iklan Mobil Listrik. Status: 200
[00:03:58] Sent data for Peluncuran Minuman Energi. Status: 200
[00:04:00] Sent data for Promo Skincare Baru. Status: 200
[00:04:01] Sent data for Promo Skincare Baru. Status: 200
[00:04:03] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:06] Sent data for Peluncuran Minuman Energi. Status: 200
[00:04:09] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:10] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:12] Sent data for Peluncuran Minuman Energi. Status: 200
[00:04:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:17] Sent data for Promo Skincare Baru. Status: 200
[00:04:20] Sent data for Promo Skincare Baru. Status: 200
[00:04:23] Sent data for Promo Skincare Baru. Status: 200
[00:04:24] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:26] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:28] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:31] Sent data for Peluncuran Minuman Energi. Status: 200
[00:04:32] Sent data for Peluncuran Minuman Energi. Status: 200
[00:04:35] Sent data for Promo Skincare Baru. Status: 200
[00:04:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:04:39] Sent data for Promo Skincare Baru. Status: 200
[00:04:41] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:43] Sent data for Promo Skincare Baru. Status: 200
[00:04:45] Sent data for Promo Skincare Baru. Status: 200
[00:04:46] Sent data for Promo Skincare Baru. Status: 200
[00:04:48] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:50] Sent data for Promo Skincare Baru. Status: 200
[00:04:51] Sent data for Promo Skincare Baru. Status: 200
[00:04:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:04:55] Sent data for Promo Skincare Baru. Status: 200
[00:04:56] Sent data for Peluncuran Minuman Energi. Status: 200
[00:04:57] Sent data for Peluncuran Minuman Energi. Status: 200
[00:04:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:05:01] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:04] Sent data for Peluncuran Minuman Energi. Status: 200
[00:05:06] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:08] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:11] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:12] Sent data for Peluncuran Minuman Energi. Status: 200
[00:05:15] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:17] Sent data for Promo Skincare Baru. Status: 200
[00:05:18] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:20] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:23] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:25] Sent data for Promo Skincare Baru. Status: 200
[00:05:27] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:30] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:32] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:34] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:37] Sent data for Peluncuran Minuman Energi. Status: 200
[00:05:39] Sent data for Peluncuran Minuman Energi. Status: 200
[00:05:41] Sent data for Promo Skincare Baru. Status: 200
[00:05:42] Sent data for Peluncuran Minuman Energi. Status: 200
[00:05:44] Sent data for Peluncuran Minuman Energi. Status: 200
[00:05:46] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:48] Sent data for Promo Skincare Baru. Status: 200
[00:05:50] Sent data for Promo Skincare Baru. Status: 200
[00:05:51] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:54] Sent data for Iklan Mobil Listrik. Status: 200
[00:05:56] Sent data for Promo Skincare Baru. Status: 200
[00:05:59] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:01] Sent data for Promo Skincare Baru. Status: 200
[00:06:04] Sent data for Iklan Mobil Listrik. Status: 200
[00:06:06] Sent data for Promo Skincare Baru. Status: 200
[00:06:07] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:10] Sent data for Peluncuran Minuman Energi. Status: 200
[00:06:12] Sent data for Iklan Mobil Listrik. Status: 200
